Opera/9.27	
Opera/9.80 (Windows NT 6.1 Presto/2.12.388 Version/41.0.1	
Opera/9.80 (Windows NT 6.2 Presto/2.12.388 Version/41.0.1	
HTC_Touch_Diamond2_T5353 Opera/9.7 (Windows NT 5.1; U; ru)	
opera/8.01+(j2me/midp;+opera+mini/2.0.4062;+en;+U;+ssr	
OperaMini(_NIKITA_;Opera Mini/4.4.32206;en-GB)	
Opera/10.0(Commodore;N;DR-DOS2.2.13;8088;rv1.8.4)Presto/20070518Spaceshark/0.7	
HTC_Touch_HD_T8282 Opera/9.50 (Windows NT 5.1; U; pt)	
Opera/51 Andriod	
HTC_HD2_T8585 Opera/9.7 (Windows NT 5.1; U; ru)	
OperaMini(MAUI_MRE;Opera Mini/4.4.33576;en)	
Opera/9.00 (Wii; U; ; 1038-58; Wii Shop Channel/1.0; en)	
Opera/11.6	
Opera/11.5	
Opera/9.80 (Window NT 6.2; Win64; x64) Presto/2.12.388 Version/12.16	
Opera/9.15	
Opera/5.02 (Macintosh; U; id)	
HTC_HD2_T8585 Opera/9.7 (Windows NT 5.1; U; en)	
HTC_HD2_T8585 Opera/9.70 (Windows NT 5.1; U; de)	
Opera/9.80 (Linux mips ; U; HbbTV/1.1.1 Presto/2.6.33 Version/10.70	
OperaMini(Fucus/Unknown;Opera Mini/4.4.33576;en)	
Opera Mini 4	
Opera/9.80 (; WOW64; U; ru) Presto/2.10.229 Version/11.62
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/163.89; U; ru) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/83.102; U; pt) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/90.140; U; pt) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/87.4; U; pt) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/75.35; U; pt) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/79.13; U; pt) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/93.110; U; pt) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/107.62; U; pt) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/95.109; U; pt) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/76.171; U; pt) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/85.73; U; pt) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/90.140; U; ru) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/65.257; U; en) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/90.169; U; ru) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/98.18; U; ru) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/90.176; U; ru) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/95.109; U; ru) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/93.110; U; ru) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/93.110; U; en) Presto/2.12.423 Version/12.16	 
Opera/9.80 (Windows Phone; Opera Mini/9.1.0/93.131; U; ru) Presto/2.12.423 Version/12.16	 
